objectid,parentid,filename,youtubeid,title,creator,Interviewer,Narrator,date,content_summary,description,subject,"Personal Name  ",location,geographic_subject,organization_building  ,latitude,longitude,source,identifier,type,format,"original_recording_specifications  
",digital_specifications,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,notes,created_by
arc_001,,arc_001.jpg,,Germantown YWCA Upwards View From Entrance Photo,"Boucher, L. Cameron",,,2024-06-18,,A front view picture of the YWCA in Germantown looking upwards from the entance.,Young Women's Christian Association--Buildings; Community Centers; Historic Buildings,,"5820 Germantown Ave, Philadelphia, PA 19144",,,40.036836,-75.176593,,,Image;StillImage,image/jpeg,,,eng,CC BY,https://creativecommons.org/licenses/by/4.0/,image,/objects/arc_001.jpg,,,Image of the Germantown YWCA from an upwards angle from entrance point of view.,,,
arc_002,,arc_002.jpg,,Germantown YWCA No Trespassing Sign,"Boucher, L. Cameron",,,2024-06-18,,A picture of the YWCA in Germantown no trespassing sign.,Young Women's Christian Association--Buildings; Community Centers; Historic Buildings,,"5820 Germantown Ave, Philadelphia, PA 19144",,,40.036836,-75.176593,,,Image;StillImage,image/jpeg,,,eng,CC BY,https://creativecommons.org/licenses/by/4.0/,image,/objects/arc_002.jpg,,,Image of the Germantown YWCA no trespassing sign indicating that Philadelphia Redevelopment Authority owns the property and violators who trespass will be prosecuted.,,,
arc_003,,https://media.freelibrary.org/assets/digital/items/mlumaa00063/images/large.jpg,,"Philadelphia Land Use Map, 1942, Plate 7A-1 ","Plans & Registry Division, Bureau of Engineering Surveys & Zoning, Department of Public Works, Federal Works Progress Administration for Pennsylvania ",,,1942,,"Geographic Coverage Ward: 22nd ward, Pennsylvania, Philadelphia",Philadelphia (Pa.)--Maps; United States--Pennsylvania,,,,,,,"<a href=""https://libwww.freelibrary.org/digital/item/11983""> Map Collection</a>",MLUMAA00063 ,Image;StillImage,image/jpeg,,,eng,public domain ,https://creativecommons.org/publicdomain/mark/1.0/,image,https://media.freelibrary.org/assets/digital/items/mlumaa00063/images/large.jpg,,,"Image of Philadelphia Land Use Map, 1942, Plate 7A-1. Geographic Coverage includes
Philadelphia, Pennsylvania,  22nd ward ",,,
arc_004,,https://media.freelibrary.org/assets/digital/items/mlumaa00064/images/large.jpg,,"Philadelphia Land Use Map, 1942, Plate 7A-2 ","Plans & Registry Division, Bureau of Engineering Surveys & Zoning, Department of Public Works, Federal Works Progress Administration for Pennsylvania ",,,1942,,"Geographic Coverage Ward: 49th ward, Pennsylvania,Philadelphia",Philadelphia (Pa.)--Maps; United States--Pennsylvania,,,,,,,"<a href=""https://libwww.freelibrary.org/digital/item/11984""> Map Collection</a>",MLUMAA00064,Image;StillImage,image/jpeg,,,eng,public domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://media.freelibrary.org/assets/digital/items/mlumaa00064/images/large.jpg,,,"Image of Philadelphia Land Use Map, 1942, Plate 7A-2. Geographic Coverage includes Philadelphia, Pennsylvania, 49th ward ",,,
arc_005,,https://media.freelibrary.org/assets/digital/items/mlumaa00050/images/large.jpg,," Philadelphia Land Use Map, 1942, Plate 6A-3 ","Plans & Registry Division, Bureau of Engineering Surveys & Zoning, Department of Public Works, Federal Works Progress Administration for Pennsylvania ",,,1942,,"Geographic Coverage Ward: 38th ward, Pennsylvania, Philadelphia",Philadelphia (Pa.)--Maps; United States--Pennsylvania,,,,,,,"<a href=""https://libwww.freelibrary.org/digital/item/11970""> Map Collection</a>",MLUMAA00050,Image;StillImage,image/jpeg,,,eng,public domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://media.freelibrary.org/assets/digital/items/mlumaa00050/images/large.jpg,,,"Image of Philadelphia Land Use Map, 1942, Plate 6A-3. Geographic Coverage includes
Pennsylvania Philadelphia 38th ward ",,,
arc_006,,https://media.freelibrary.org/assets/digital/items/mlumaa00051/images/large.jpg,,"Philadelphia Land Use Map, 1942, Plate 6A-4 ","Plans & Registry Division, Bureau of Engineering Surveys & Zoning, Department of Public Works, Federal Works Progress Administration for Pennsylvania ",,,1942,,"Geographic Coverage: Ward: 49th ward, Pennsylvania, Philadelphia",Philadelphia (Pa.)--Maps; United States--Pennsylvania,,,,,,,"<a href=""https://libwww.freelibrary.org/digital/item/11971""> Map Collection</a>",MLUMAA00051,Image;StillImage,image/jpeg,,,eng,public domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://media.freelibrary.org/assets/digital/items/mlumaa00051/images/large.jpg,,,"Image of Philadelphia Land Use Map, 1942, Plate 6A-4 . Geographic Coverage includes
Pennsylvania Philadelphia 49th ward ",,,
arc_007,,http://hiddencityphila.org/wp-content/uploads/2015/01/gtownywca_pastorius.jpg,,Germantown YWCA and the Pastorius Monument viewed from Vernon Park,"Maule, Bradley",,,2015,,A photo of the Germantown YWCA building and the Pastorius Monument taken from the viewpoint in Vernon Park.,Young Women's Christian Association--Buildings; Community Centers; Historic Buildings,,"5820 Germantown Ave, Philadelphia, PA 19144",,,40.036836,-75.176593,"<a href=""https://hiddencityphila.org/2015/01/fearing-demolition-community-advocates-of-germantown-ywca-call-for-emergency-meeting/""> Hidden City Philadelphia</a>",,Image;StillImage,image/jpeg,,,eng,Non exclusive perpetual use,https://rightsstatements.org/page/InC/1.0/?language=en,image,http://hiddencityphila.org/wp-content/uploads/2015/01/gtownywca_pastorius.jpg,,,Image of the Germantown YWCA building and the Pastorius Monument taken from the viewpoint in Vernon Park. The building is in poor condition.,,,
arc_008,,arc_008.jpg,,Germantown YWCA's Women of Germantown Mural ,"McGrath, Alice",,,2024-06-18,,"A side view of the YWCA in Germantown where the ""Women of Germantown"" by artist David McShane resides.",Young Women's Christian Association--Buildings; Community Centers; Historic Buildings,,"5820 Germantown Ave, Philadelphia, PA 19144",,,40.036836,-75.176593,,,Image;StillImage,image/jpeg,,,eng,CC BY,https://creativecommons.org/licenses/by/4.0/,image,/objects/arc_008.jpg,,,"Image of Germantown YWCA from a side perpective showing the ""Women of Germantown"" by artist David McShane.",,,
arc_009,,arc_009.jpg,,Germantown YWCA's Side View with Women of Germantown Mural,"McGrath, Alice",,,2024-06-18,,"A side view of the YWCA in Germantown incuding the ""Women of Germantown"" murel by artist David McShane.",Young Women's Christian Association--Buildings; Community Centers; Historic Buildings,,"5820 Germantown Ave, Philadelphia, PA 19144",,,40.036836,-75.176593,,,Image;StillImage,image/jpeg,,,eng,CC BY,https://creativecommons.org/licenses/by/4.0/,image,/objects/arc_009.jpg,,,"Image of Germantown YWCA from a side perpective showing the ""Women of Germantown"" by artist David McShane.",,,
arc_010,,arc_010.jpg,,Germantown YWCA Corner view,"McGrath, Alice",,,2024-06-18,,A corner view of the YWCA in Germantown from the non-mural side.,Young Women's Christian Association--Buildings; Community Centers; Historic Buildings,,"5820 Germantown Ave, Philadelphia, PA 19144",,,40.036836,-75.176593,,,Image;StillImage,image/jpeg,,,eng,CC BY,https://creativecommons.org/licenses/by/4.0/,image,/objects/arc_010.jpg,,,Image of Germantown YWCA from a side perpective opposite from the side with the mural from an angle where a corner of the building is shown.,,,
arc_011,,arc_011.jpg,,Germantown YWCA Side View,"McGrath, Alice",,,2024-06-18,,A side view of the YWCA in Germantown from the non-mural side.,Young Women's Christian Association--Buildings; Community Centers; Historic Buildings,,"5820 Germantown Ave, Philadelphia, PA 19144",,,40.036836,-75.176593,,,Image;StillImage,image/jpeg,,,eng,CC BY,https://creativecommons.org/licenses/by/4.0/,image,/objects/arc_011.jpg,,,Image of Germantown YWCA from a side perpective opposite from the side with the mural.,,,
arc_012,,arc_012.jpg,,Fire damages former Germantown YWCA building near Vernon Park,WHYY photographer,,,2012-01-06,,A photo of the Germantown YWCA building during the fire incident. The building is surrounded by emergency vehicles as firefighters are actively working to extinguish the flames.,Young Women's Christian Association--Buildings; Building Deterioration; Fires,,"5820 Germantown Ave, Philadelphia, PA 19144",,,40.036836,-75.176593,"<a href=""https://whyy.org/articles/fire-damages-germantown-ave-property-near-vernon-park/""> WHYY</a>",,Image;StillImage,image/jpeg,,,eng,Non exclusive perpetual use,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_012.jpg,,,Image of the Germantown YWCA building during the fire incident with emergency vehicles and firefighters working to make sure the fire is extinguished as the fire hose is still out.,,,
demo_000,,,,Demo of compound files,,,,YYYY-MM-DD ,,Demo of compound files,,,,,,,,,,,compound_object,,,eng,,,compound_object,,,,,,,
demo_001,demo_000,interviewee_lastname_firstname.pdf,,"interviewee First Name Last Name, Month Day Year",,"interviewer Last Name, First Name  ","interviewee Last Name, First Name or Check the LOC Name Authorities to see if an Authorized Heading exists ",YYYY-MM-DD ,insert a brief descriptive summary,,Insert subject headings from the Library of Congress Authorities website.,insert significant or mentioned personas other than the interviewer or narartor by using LOC Authorities or using LOC format for names,,insert Geographic Subject  from  LOC authorities ,"insert only if reletive to oral history. Can have Name of a company, team business, address, or building here. Only add the address if it is given or pictured.",,,,,Text,application/pdf,insert Original Recording Specifications  ,insert Digital Specifications ,insert language of file,insert rights,insert rights statement,pdf,/objects/interviewee_lastname_firstname.pdf,,,,,insert any issues with the file here,Insert your first initial and last name
demo_002,demo_000,interviewee_lastname_firstname.mp3,,"interviewee First Name Last Name, Month Day Year",,"interviewer Last Name, First Name  ","interviewee Last Name, First Name or Check the LOC Name Authorities to see if an Authorized Heading exists ",YYYY-MM-DD ,insert a brief descriptive summary,,Insert subject headings from the Library of Congress Authorities website.,insert significant or mentioned personas other than the interviewer or narartor by using LOC Authorities or using LOC format for names,,insert Geographic Subject  from  LOC authorities ,"insert only if reletive to oral history. Can have Name of a company, team business, address, or building here. Only add the address if it is given or pictured.",,,,,Image;MovingImage,video/mp3,insert Original Recording Specifications  ,insert Digital Specifications ,insert language of file,insert rights,insert rights statement,video,/objects/interviewee_lastname_firstname.mp3,,,,,insert any issues with the file here,Insert your first initial and last name
demo_003,demo_000,interviewee_lastname_firstname.jpg,,"interviewee First Name Last Name, Month Day Year",,"interviewer Last Name, First Name  ","interviewee Last Name, First Name or Check the LOC Name Authorities to see if an Authorized Heading exists ",YYYY-MM-DD ,insert a brief descriptive summary,,Insert subject headings from the Library of Congress Authorities website.,insert significant or mentioned personas other than the interviewer or narartor by using LOC Authorities or using LOC format for names,,insert Geographic Subject  from  LOC authorities ,"insert only if reletive to oral history. Can have Name of a company, team business, address, or building here. Only add the address if it is given or pictured.",,,,,Image;StillImage,image/jpeg,insert Original Recording Specifications  ,insert Digital Specifications ,insert language of file,insert rights,insert rights statement,image,/objects/interviewee_lastname_firstname.jpg,,,,,insert any issues with the file here,Insert your first initial and last name